Region,Song Id,Total Streams,Song,Artist,Frequency
Romania,1rgnBhdG2JDFTbYkYRZAku,15.0,Dance Monkey,Tones And I,11
Norway,1rgnBhdG2JDFTbYkYRZAku,73.0,Dance Monkey,Tones And I,11
Luxembourg,1rgnBhdG2JDFTbYkYRZAku,5.0,Dance Monkey,Tones And I,11
Ireland,1rgnBhdG2JDFTbYkYRZAku,66.0,Dance Monkey,Tones And I,11
Switzerland,1rgnBhdG2JDFTbYkYRZAku,53.0,Dance Monkey,Tones And I,11
Hungary,1rgnBhdG2JDFTbYkYRZAku,33.0,Dance Monkey,Tones And I,11
Netherlands,1rgnBhdG2JDFTbYkYRZAku,82.0,Dance Monkey,Tones And I,11
Slovakia,1rgnBhdG2JDFTbYkYRZAku,19.0,Dance Monkey,Tones And I,11
Australia,1rgnBhdG2JDFTbYkYRZAku,88.0,Dance Monkey,Tones And I,11
Austria,1rgnBhdG2JDFTbYkYRZAku,44.0,Dance Monkey,Tones And I,11
Belgium,1rgnBhdG2JDFTbYkYRZAku,67.0,Dance Monkey,Tones And I,11
El Salvador,2JPLbjOn0wPCngEot2STUS,47.0,Yonaguni,Bad Bunny,9
Costa Rica,2JPLbjOn0wPCngEot2STUS,52.0,Yonaguni,Bad Bunny,9
Panama,2JPLbjOn0wPCngEot2STUS,40.0,Yonaguni,Bad Bunny,9
Honduras,2JPLbjOn0wPCngEot2STUS,38.0,Yonaguni,Bad Bunny,9
Dominican Republic,2JPLbjOn0wPCngEot2STUS,25.0,Yonaguni,Bad Bunny,9
Ecuador,2JPLbjOn0wPCngEot2STUS,64.0,Yonaguni,Bad Bunny,9
Guatemala,2JPLbjOn0wPCngEot2STUS,59.0,Yonaguni,Bad Bunny,9
Colombia,2JPLbjOn0wPCngEot2STUS,70.0,Yonaguni,Bad Bunny,9
Nicaragua,2JPLbjOn0wPCngEot2STUS,29.0,Yonaguni,Bad Bunny,9
Iceland,5CtI0qwDJkDQGwXD1H1cLb,18.0,Despacito - Remix,Luis Fonsi,5
Malaysia,5CtI0qwDJkDQGwXD1H1cLb,56.0,Despacito - Remix,Luis Fonsi,5
Canada,5CtI0qwDJkDQGwXD1H1cLb,75.0,Despacito - Remix,Luis Fonsi,5
Denmark,5CtI0qwDJkDQGwXD1H1cLb,68.0,Despacito - Remix,Luis Fonsi,5
Singapore,5CtI0qwDJkDQGwXD1H1cLb,60.0,Despacito - Remix,Luis Fonsi,5
Mexico,1yoMvmasuxZfqHEipJhRbp,97.0,Hawái,Maluma,4
Bolivia,1yoMvmasuxZfqHEipJhRbp,32.0,Hawái,Maluma,4
Peru,1yoMvmasuxZfqHEipJhRbp,71.0,Hawái,Maluma,4
Germany,7qiZfU4dY1lWllzX7mPBI3,95.0,Shape of You,Ed Sheeran,4
New Zealand,7qiZfU4dY1lWllzX7mPBI3,55.0,Shape of You,Ed Sheeran,4
United Kingdom,7qiZfU4dY1lWllzX7mPBI3,93.0,Shape of You,Ed Sheeran,4
Bulgaria,7qiZfU4dY1lWllzX7mPBI3,7.0,Shape of You,Ed Sheeran,4
Uruguay,1yoMvmasuxZfqHEipJhRbp,30.0,Hawái,Maluma,4
Belarus,48fzAdCxamFYCHNXXLk6zn,8.0,showdown,shadowraze,3
Kazakhstan,48fzAdCxamFYCHNXXLk6zn,4.0,showdown,shadowraze,3
Russian Federation,48fzAdCxamFYCHNXXLk6zn,63.0,showdown,shadowraze,3
Lithuania,776AftMmFFAWUIEAb3lHhw,16.0,ZITTI E BUONI,Måneskin,2
"Korea, Republic of",5PjdY0CKGZdEuoNab3yDmX,14.0,STAY (with Justin Bieber),The Kid LAROI,2
Spain,2ksOAxtIxY8yElEWw8RhgK,90.0,China,Anuel AA,2
United Arab Emirates,5PjdY0CKGZdEuoNab3yDmX,23.0,STAY (with Justin Bieber),The Kid LAROI,2
Cyprus,3Wrjm47oTz2sjIgck11l5e,3.0,Beggin',Måneskin,2
Chile,2ksOAxtIxY8yElEWw8RhgK,78.0,China,Anuel AA,2
South Africa,7BH6nyhnWTSfMUwwrCYbJF,21.0,Paris,Q-Mark,1
Sweden,5SY5BWTxbDqFouuAdelFV9,81.0,Svag,Victor Leksell,1
Taiwan,3OC84eKMxRJ4x0Hcwl9i4i,58.0,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,Crowd Lu,1
Portugal,5zNxUkUW9WiV5oyg6gh2wB,42.0,DANÇARINA,PEDRO SAMPAIO,1
Turkey,6wbDn8NI3ygkOeDJiS0ASi,79.0,Bilmem Mi?,Sefo,1
Ukraine,0r9fpWPI6z3V3YZXIiVaNC,26.0,99 Problems,Big Baby Tape,1
Saudi Arabia,5Aigt44wICHJ2BDshPZqvh,36.0,Al Mafrood,Aseel Hameem,1
United States,2XW4DbS6NddZxRPm5rMCeY,100.0,God's Plan,Drake,1
"Venezuela, Bolivarian Republic of",2gpQi3hbcUAcEG8m2dlgfB,1.0,Plan A,Paulo Londra,1
Thailand,4Cg2XGrrrczeZRPOnlAG67,49.0,คิด(แต่ไม่)ถึง (Same Page?),Tilly Birds,1
Argentina,7k4t7uLgtOxPwTpFmtJNTY,84.0,Tusa,KAROL G,1
Poland,5hfJcAXpOVb65HtYqgtoE4,74.0,Kiss cam (podryw roku),Mata,1
Philippines,2b8fOow8UzyDFAE27YhOZM,77.0,Memories,Maroon 5,1
Brazil,2kJRlOyrxsy7Ot3c5TZ8Q6,96.0,Meu Pedaço de Pecado,João Gomes,1
Czech Republic,0J3SIAOndpL1MS2Vq2RMQ9,34.0,Stíny,Viktor Sheen,1
Egypt,5CeSq5JBv2wCeIHZA0PLtT,27.0,البخت,Wegz,1
Estonia,3ZNv0P70XQX5FoQAUw3bLg,11.0,für Oksana,nublu,1
Finland,4NVHhia6yRB4RsRTlpzsz3,62.0,Penelope (feat. Clever),william,1
France,205HNJ73cgpC0LAOnuQiWT,86.0,Bande organisée,Kofs,1
Greece,1dBqiQ1TU3MpgnR84gi1BQ,45.0,NASA,Rack,1
Hong Kong,1ZrnCyms7CBYsCvkkVIkt8,37.0,記憶棉,MC 張天賦,1
India,2rOnSn2piaqLAlYjtfUBlY,99.0,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi,1
Indonesia,2hHeGD57S0BcopfVcmehdl,85.0,Hati-Hati di Jalan,Tulus,1
Israel,2liUMhNvpAxRNVAGnz8jNJ,41.0,אפס מאמץ,Static & Ben El,1
Italy,1ZMGp9MTXbtAPvcKa0U3zS,92.0,Brividi,Mahmood,1
Japan,7dH0dpi751EoguDDg3xx6J,89.0,ドライフラワー,Yuuri,1
Latvia,2Fxmhks0bxGSBdJ92vM42m,10.0,bad guy,Billie Eilish,1
Morocco,4qKpUlrZEwrohZUU7y1IRX,22.0,Mghayer,ElGrandeToto,1
Nigeria,6hgoYQDUcPyCz7LcTUHKxa,12.0,Calm Down,Rema,1
Paraguay,4gzsuuZypVbxs0Af1LSZyB,51.0,Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,1
Viet Nam,17iGUekw5nFt5mIRJcUm3R,48.0,Chúng Ta Của Hiện Tại,Sơn Tùng M-TP,1
