Rank,Artist,Number of Appearances in Top Weekly Songs
1,Post Malone,26
2,Drake,22
3,Ed Sheeran,20
4,Ariana Grande,20
5,Tones And I,17
6,Olivia Rodrigo,17
7,Shawn Mendes,14
8,The Weeknd,14
9,Luis Fonsi,14
10,The Kid LAROI,12
11,Glass Animals,10
12,Bad Bunny,9
13,Adele,7
14,DaBaby,7
15,Billie Eilish,6
16,24kGoldn,5
17,Cardi B,5
18,Lil Nas X,5
19,J Balvin,4
20,Taylor Swift,4
21,DJ Snake,4
22,M̴neskin,4
23,Mariah Carey,4
24,Kanye West,3
25,Justin Bieber,3
26,GAYLE,3
27,Jawsh 685,2
28,XXXTENTACION,2
29,Lady Gaga,1
30,Kendrick Lamar,1
31,Roddy Ricch,1
32,Sam Smith,1
33,Selena Gomez,1
34,Harry Styles,1
35,THE SCOTTS,1
36,Eminem,1
37,Childish Gambino,1
38,Camila Cabello,1
39,Travis Scott,1
